"","Site_Name","Date","spec_Site_Name","Latitude","Longitude","State Name","Aluminum PM2.5 LC","Calcium PM2.5 LC","EC CSN_Rev Unadjusted PM2.5 LC TOR","EC PM2.5 LC TOR","Iron PM2.5 LC","OC PM2.5 LC TOR","Silicon PM2.5 LC","Sulfate PM2.5 LC","Titanium PM2.5 LC","Total Nitrate PM2.5 LC","Dust","Day_of_Year_mean","AOD_Coincident_Input[440nm]_mean","AOD_Coincident_Input[675nm]_mean","AOD_Coincident_Input[870nm]_mean","AOD_Coincident_Input[1020nm]_mean","Angstrom_Exponent_440-870nm_from_Coincident_Input_AOD_mean","AOD_Extinction-Total[440nm]_mean","AOD_Extinction-Total[675nm]_mean","AOD_Extinction-Total[870nm]_mean","AOD_Extinction-Total[1020nm]_mean","AOD_Extinction-Fine[440nm]_mean","AOD_Extinction-Fine[675nm]_mean","AOD_Extinction-Fine[870nm]_mean","AOD_Extinction-Fine[1020nm]_mean","AOD_Extinction-Coarse[440nm]_mean","AOD_Extinction-Coarse[675nm]_mean","AOD_Extinction-Coarse[870nm]_mean","AOD_Extinction-Coarse[1020nm]_mean","Extinction_Angstrom_Exponent_440-870nm-Total_mean","Single_Scattering_Albedo[440nm]_mean","Single_Scattering_Albedo[675nm]_mean","Single_Scattering_Albedo[870nm]_mean","Single_Scattering_Albedo[1020nm]_mean","Absorption_AOD[440nm]_mean","Absorption_AOD[675nm]_mean","Absorption_AOD[870nm]_mean","Absorption_AOD[1020nm]_mean","Absorption_Angstrom_Exponent_440-870nm_mean","Refractive_Index-Real_Part[440nm]_mean","Refractive_Index-Real_Part[675nm]_mean","Refractive_Index-Real_Part[870nm]_mean","Refractive_Index-Real_Part[1020nm]_mean","Refractive_Index-Imaginary_Part[440nm]_mean","Refractive_Index-Imaginary_Part[675nm]_mean","Refractive_Index-Imaginary_Part[870nm]_mean","Refractive_Index-Imaginary_Part[1020nm]_mean","Asymmetry_Factor-Total[440nm]_mean","Asymmetry_Factor-Total[675nm]_mean","Asymmetry_Factor-Total[870nm]_mean","Asymmetry_Factor-Total[1020nm]_mean","Asymmetry_Factor-Fine[440nm]_mean","Asymmetry_Factor-Fine[675nm]_mean","Asymmetry_Factor-Fine[870nm]_mean","Asymmetry_Factor-Fine[1020nm]_mean","Asymmetry_Factor-Coarse[440nm]_mean","Asymmetry_Factor-Coarse[675nm]_mean","Asymmetry_Factor-Coarse[870nm]_mean","Asymmetry_Factor-Coarse[1020nm]_mean","Elevation(m)_mean","Longitude(Degrees)_mean","Latitude(Degrees)_mean","Coincident_AOD440nm_mean","Solar_Zenith_Angle_for_Measurement_Start(Degrees)_mean","Std-C_mean","VMR-C_mean","REff-C_mean","VolC-C_mean","Std-F_mean","VMR-F_mean","REff-F_mean","VolC-F_mean","Std-T_mean","VolC-T_mean","REff-T_mean","VMR-T_mean","Sphericity_Factor(%)_mean","N","flag"
"11","BONDVILLE",2001-03-23,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.03899,NA,0.53,0.03717,NA,0.08573,4.1485,0.0058,11.7938,0.3782248,82,0.27866825,0.17520875,0.129203,0.10215475,1.1341085,0.2796,0.176175,0.12815,0.102225,0.261225,0.1564,0.106625,0.0795,0.018375,0.019775,0.0215,0.02275,1.15150625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.72529675,0.6950265,0.673974,0.661809,0.7181045,0.6831515,0.64875025,0.6221705,0.856414,0.80259175,0.8062585,0.79603075,212,-88.371944,40.053333,0.27866825,65.131995,0.66625,1.911,1.58825,0.0155,0.56925,0.25175,0.21325,0.035,1.11375,0.05025,0.29225,0.4735,-999,1529,3
"12","BONDVILLE",2001-03-26,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.05778,NA,0.39,0.02713,NA,0.09636,1.7669,0.00691,2.5018,0.4131778,85,0.1700415,0.0878965,0.06092,0.046618,1.5173865,0.1711,0.088,0.05985,0.04805,0.1505,0.06425,0.03545,0.0238,0.0206,0.02375,0.0244,0.02425,1.5509955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.713271,0.645432,0.6226455,0.621958,0.6998525,0.5904975,0.50438,0.44253,0.8333695,0.804516,0.7966255,0.7928975,212,-88.371944,40.053333,0.1700415,70.1121585,0.7755,1.796,1.342,0.0155,0.4185,0.1645,0.1515,0.0225,1.301,0.0375,0.234,0.4275,-999,1529,3
"13","BONDVILLE",2001-04-01,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.0181,NA,0.24,0.01944,NA,0.05309,1.6679,0.00468,1.9451,0.2178211,91,0.133460333333333,0.0781243333333333,0.0597806666666667,0.0494113333333333,1.198963,0.134433333333333,0.079,0.0596333333333333,0.049,0.124433333333333,0.0681666666666667,0.0484,0.0376,0.00996666666666667,0.0108333333333333,0.0112666666666667,0.0113666666666667,1.21052733333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.648871,0.583050666666667,0.551116666666667,0.542164666666667,0.630776333333333,0.53056,0.450139,0.396944,0.994443666666667,0.944457666666667,0.911327,0.887922666666667,212,-88.371944,40.053333,0.133460333333333,68.194919,0.802,2.98666666666667,2.08766666666667,0.012,0.442333333333333,0.141,0.128333333333333,0.0136666666666667,1.65233333333333,0.0256666666666667,0.230666666666667,0.596666666666667,-999,1529,3
"14","BONDVILLE",2001-04-04,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0.08494,0.05673,NA,0.59,0.05161,NA,0.06772,5.66,0.0083,6.8911,0.5889589,94,0.195097,0.099859,0.06976,0.052254,1.52212,0.196,0.1013,0.0672,0.0517,0.1883,0.093,0.0582,0.0422,0.0077,0.0083,0.009,0.0095,1.57536,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.704709,0.615748,0.576045,0.561239,0.698071,0.599459,0.543165,0.50921,0.917932,0.827739,0.806649,0.798893,212,-88.371944,40.053333,0.195097,59.52805,0.722,2.446,1.935,0.009,0.527,0.161,0.143,0.039,1.196,0.047,0.172,0.265,-999,1529,3
"15","BONDVILLE",2001-04-13,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.02446,NA,0.33,0.02492,NA,0.06217,1.931,0.00318,2.4162,0.2611487,103,0.205018285714286,0.1565,0.143018142857143,0.131775571428571,0.614335285714286,0.205985714285714,0.157214285714286,0.142042857142857,0.133971428571429,0.112642857142857,0.0534142857142857,0.0333285714285714,0.0233,0.0933428571428571,0.103814285714286,0.108714285714286,0.110657142857143,0.630876714285714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.706245571428571,0.696242142857143,0.700229,0.707221428571429,0.648278428571429,0.599826714285714,0.556068428571429,0.523622571428571,0.783254714285714,0.757119857142857,0.758418428571429,0.757621857142857,212,-88.371944,40.053333,0.205018285714286,63.8390782857143,0.519428571428571,1.37242857142857,1.208,0.0572857142857143,0.562571428571429,0.154857142857143,0.133714285714286,0.0157142857142857,1.06628571428571,0.073,0.411857142857143,0.810428571428571,-999,1529,3
"16","BONDVILLE",2001-04-16,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0.01936,0.02162,NA,0.13,0.01869,NA,0.05667,1.824,0,0.5266,0.2641707,106,0.2028255,0.1465165,0.1279825,0.1151825,0.6875945,0.2038,0.147,0.12725,0.1154,0.1307,0.06695,0.04265,0.02785,0.0731,0.0801,0.0845,0.08755,0.7018925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.685716,0.6666635,0.6713325,0.684635,0.636616,0.560002,0.513645,0.48565,0.7815795,0.765027,0.7569895,0.749294,212,-88.371944,40.053333,0.2028255,61.841101,0.546,1.386,1.2105,0.044,0.5285,0.146,0.1285,0.0175,1.1495,0.062,0.357,0.732,-999,1529,3
"17","BONDVILLE",2001-04-28,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0.09495,0.09665,NA,0.37,0.08533,NA,0.23024,1.3433,0.00957,0.3755,1.1647915,118,0.186435,0.109480666666667,0.0920056666666667,0.0838846666666667,1.062072,0.187666666666667,0.1128,0.0916666666666667,0.0823333333333333,0.136333333333333,0.0575666666666667,0.0339666666666667,0.0234,0.0513333333333333,0.0552333333333333,0.0577333333333333,0.0589666666666667,1.07023866666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.700088333333333,0.677003333333333,0.681008,0.689281,0.618469,0.530028333333333,0.468468,0.430284,0.978386666666667,0.861001666666667,0.826634666666667,0.804539333333333,212,-88.371944,40.053333,0.186435,68.3847363333333,0.713,3.91566666666667,2.87033333333333,0.079,0.455,0.146,0.132333333333333,0.0136666666666667,1.353,0.0926666666666667,0.706666666666667,2.40466666666667,-999,1529,3
"18","BONDVILLE",2001-05-01,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0.14292,0.0815,NA,0.48,0.10717,NA,0.34864,5.9596,0.01972,0.5056,1.6129908,121,0.326582333333333,0.191765666666667,0.154147666666667,0.137497666666667,1.12122333333333,0.328533333333333,0.193433333333333,0.154833333333333,0.136833333333333,0.252633333333333,0.110266666666667,0.0677,0.0475666666666667,0.0759333333333333,0.0831666666666667,0.0871333333333333,0.0893,1.12256866666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.679833666666667,0.621407333333333,0.622580333333333,0.635956666666667,0.627375,0.485515333333333,0.404807,0.360363,0.875725,0.818705666666667,0.801267333333333,0.784731666666667,212,-88.371944,40.053333,0.326582333333333,68.3980976666667,0.840333333333333,3.013,2.06733333333333,0.0803333333333333,0.385333333333333,0.133333333333333,0.125,0.0396666666666667,1.625,0.120333333333333,0.338333333333333,1.08666666666667,-999,1529,3
"19","BONDVILLE",2001-05-22,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.02077,NA,0.08,0.02146,NA,0.08791,1.1961,0.00231,0.3403,0.3091656,142,0.1173015,0.0552365,0.0358995,0.0276565,1.748263,0.11735,0.05615,0.03555,0.0285,0.10585,0.04385,0.02255,0.015,0.0115,0.01225,0.01305,0.01345,1.757723,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.73187,0.6652165,0.6282885,0.61471,0.717705,0.6278825,0.5388585,0.4685245,0.900319,0.8156605,0.793098,0.784346,212,-88.371944,40.053333,0.1173015,72.762522,0.6055,2.614,2.168,0.015,0.3495,0.1985,0.187,0.012,1.378,0.026,0.379,0.829,-999,1529,3
"20","BONDVILLE",2001-06-03,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.07351,NA,0.17,0.03782,NA,0.2249,1.162,0.01756,0.4533,0.8054131,154,0.07786325,0.04051075,0.031941,0.026169,1.324809,0.078575,0.04445,0.032275,0.027675,0.066675,0.031075,0.01795,0.01295,0.011875,0.013325,0.014325,0.014725,1.29871275,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.7173225,0.68081925,0.6710175,0.66713125,0.70296025,0.642012,0.58590375,0.542442,0.8222305,0.7788135,0.7800215,0.77664475,212,-88.371944,40.053333,0.07786325,64.83353225,0.6095,1.59475,1.345,0.00875,0.49075,0.197,0.1755,0.008,1.178,0.01675,0.3155,0.572,-999,1529,3
